,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,minutestamp,PC0,PC1
0,0.329,0.154,-10.901,0.0367,0.785,0.0,0.0865,0.328,122.191,3.1173333333333333,0.11599258721726141,0.03852406775200246
1,0.324,0.472,-7.756,0.0434,0.54,0.0371,0.214,0.184,109.014,7.84955,0.11448926662162771,-0.7756965677150176
2,0.354,0.31,-8.196,0.0378,0.59,0.0,0.109,0.284,130.562,12.042216666666667,0.4075981442689064,2.3350490683200094
3,0.288,0.513,-7.717,0.0354,0.709,1.13e-06,0.0886,0.153,132.219,16.827766666666665,1.5177083880006692,0.3987623801274903
4,0.519,0.731,-6.702,0.027,0.000305,0.00189,0.441,0.392,130.196,19.782216666666667,1.179329234927643,0.10312521946968209
5,0.204,0.072,-13.943,0.0373,0.836,0.000348,0.282,0.0794,67.045,23.068,-0.3331678972070263,0.48871295642150875
6,0.271,0.318,-9.464,0.0357,0.535,4.98e-05,0.109,0.231,133.147,26.714216666666665,0.6550368588275518,-0.40382576450334506
7,0.519,0.993,-5.426,0.0466,2.02e-05,0.0934,0.845,0.846,140.094,30.170883333333332,0.39344124880396664,1.1867945090434853
8,0.76,0.801,-3.769,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,34.585766666666665,-0.057400438215025176,1.045360287611815
9,0.406,0.359,-6.145,0.0293,0.685,3.67e-06,0.122,0.202,109.246,40.06731666666666,3.4597562661702916,-0.6406471811391826
10,0.451,0.34,-7.466,0.031,0.763,2.49e-06,0.135,0.221,110.502,44.75176666666667,4.026067102885446,1.2320452738956997
11,0.625,0.356,-9.044,0.0319,0.392,0.00129,0.1,0.325,114.805,48.07176666666667,0.42662576582399514,-1.4147251935231835
12,0.553,0.502,-5.972,0.0409,0.299,0.0,0.764,0.296,129.976,51.5751,0.14251782875769073,-1.665167914212549
13,0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,55.17065,2.4482559331596674,0.24125372422052885
14,0.276,0.405,-7.296,0.0329,0.758,0.0,0.706,0.335,76.18,58.16665,1.25494070154005,-1.1340748629166264
15,0.176,0.0465,-14.545,0.0401,0.923,0.992,0.0493,0.216,89.818,58.93776666666667,-0.9273147315991948,-1.0715543973216592
16,0.564,0.0136,-24.79,0.0349,0.975,0.0168,0.111,0.397,93.205,61.653983333333336,-0.9264490773523698,-0.9976282825164832
17,0.408,0.27,-11.568,0.0438,0.661,0.829,0.516,0.14,127.15,69.31176666666667,0.4582697336999413,-0.9240472079794819
18,0.344,0.157,-11.773,0.0457,0.756,0.0,0.351,0.313,57.86,73.11621666666667,1.9741348348270646,-0.4504928923572002
19,0.492,0.116,-15.15,0.0379,0.899,1.93e-06,0.0889,0.434,111.787,75.61133333333333,1.2426702224556114,-0.4757531552427191
20,0.248,0.142,-15.443,0.0379,0.92,0.733,0.548,0.0439,128.841,79.89933333333333,0.4504457816374388,-1.1737627469951273
21,0.585,0.0809,-19.346,0.0523,0.954,0.0233,0.0935,0.204,98.379,81.75333333333333,1.847381901836084,0.23957697918816342
22,0.364,0.478,-8.645,0.0473,0.299,0.0015,0.124,0.493,134.551,85.69511666666666,3.9724879486636233,0.6306783843904231
23,0.588,0.742,-6.757,0.0528,0.0162,3.98e-06,0.653,0.824,125.819,89.498,2.4047444721328675,-0.5211490140091068
24,0.122,0.0822,-18.963,0.0379,0.891,0.00631,0.0893,0.0789,87.438,91.77221666666667,3.209296261325316,0.24609336124814035
25,0.284,0.12,-20.534,0.0389,0.843,7.6e-06,0.139,0.195,125.208,93.762,2.28119543362441,0.5233295663209285
26,0.295,0.41,-12.014,0.0443,0.000596,0.0276,0.101,0.312,121.398,96.54645,0.6271273699913125,-1.6386881583648842
27,0.302,0.11,-19.595,0.0486,0.672,0.0,0.362,0.0666,107.384,109.35711666666667,2.3287002830477967,-0.17570125525811248
28,0.286,0.15,-18.607,0.042,0.771,0.0,0.671,0.103,127.714,117.37311666666666,2.964017600305104,-0.4626742628856011
29,0.263,0.319,-16.357,0.0465,0.61,0.0,0.217,0.355,74.439,122.89866666666667,2.578910826836933,-0.370727934619297
30,0.194,0.119,-20.926,0.0398,0.854,0.000737,0.109,0.14,85.698,127.80133333333333,0.11792871510083919,-0.5627878406978525
31,0.267,0.268,-17.37,0.0431,0.914,0.0,0.163,0.405,103.296,131.29688333333334,-0.7858985025245873,-0.7108000169270948
32,0.169,0.0722,-19.226,0.0393,0.844,2.47e-05,0.114,0.113,46.168,136.99733333333333,1.6740665091640565,-0.003774406856464713
33,0.296,0.0401,-24.383,0.0431,0.954,0.0,0.134,0.288,101.583,139.72511666666668,0.8271289373195921,-0.8605085042469771
34,0.444,0.608,-12.175,0.0532,0.168,3.36e-06,0.118,0.354,119.985,143.32733333333334,0.44618377843047063,0.25420234043372214
35,0.166,0.288,-12.45,0.0389,0.917,1.89e-05,0.0889,0.0748,174.166,146.32466666666667,0.47568927051576426,-0.888027334164574
36,0.272,0.0608,-20.445,0.0506,0.951,0.0,0.112,0.117,78.6,154.73378333333332,1.193740754091046,-1.0507870075357957
37,0.323,0.149,-13.906,0.0339,0.898,4.2e-06,0.099,0.0788,105.033,160.32933333333332,1.6546392488759216,-1.501763571252683
38,0.349,0.101,-20.304,0.0387,0.943,0.0,0.0798,0.306,100.857,164.00978333333333,1.097312116567759,-0.7608312876586824
39,0.492,0.116,-15.15,0.0379,0.899,1.93e-06,0.0888,0.434,111.787,166.50511666666668,1.4241031354696285,-1.0870555621639226
